日付,体重,食品名
2020-10-01,58.59,ほうれん草のおひたし
2020-10-02,60.32,フライドポテト
2020-10-03,,ハンバーグ
2020-10-04,59.63,ハンバーグ
2020-10-05,58.4, 焼肉
2020-10-06,60.56,
2020-10-07,61.15,ほうれん草のおひたし
2020-10-08,58.82,切り干し大根
2020-10-09,59.38,切り干し大根
2020-10-10,60.87,ピーマン炒め
2020-10-11,58.91,ハンバーグ
2020-10-12,,フライドポテト
2020-10-13,57.66,ハンバーグ
2020-10-14,57.47,ほうれん草のおひたし
2020-10-15,61.13,ほうれん草のおひたし
2020-10-16,61.8,ハンバーグ
2020-10-17,58.91,うどん
2020-10-18,58.19,
2020-10-19,60.33,ハンバーグ
2020-10-20,61.85,ピーマン炒め
2020-10-21,60.17,フライドポテト
2020-10-22,58.42,ピーマン炒め
2020-10-23,61.1,ハンバーグ
2020-10-24,58.09,フライドポテト
2020-10-25,59.68,フライドポテト
2020-10-26,57.5,切り干し大根
2020-10-27,58.09,切り干し大根
2020-10-28,60.67,うどん
2020-10-29,,フライドポテト
2020-10-30,60.81,フライドポテト
2020-10-31,59.93,うどん
